intention,german_words,english_words,category,sentiment,valence
prophecy_oracle,prophet; propheten; verkünden; orakel; prophezeit; vorhersagten; künden; prophetenvorsteher; kündend; orakels; prophetin; prophezeiung; weissagung; vorhersage; orakelspruch; weissagen; prophezeien; zukunftsdeutung; götterbescheid; orakelfrage; vorzeichen; omen,consult the oracle; divination; divine pronouncement; divine verdict; foresight; foretell; foretelling; gods decision; oracle; oracle of the god; oracular answer; oracular decree; prediction; proclaim; prophecy; prophesy; prophetic; prophetic answer; seers vision; soothsaying,cultic_religious,neutral,0.0
blessing_wish,heil; gesundheit; schönen; schön; zufrieden; frieden; kraft; gesund; mächtig; vollkommen; schöne; vollkommenheit; wohlergehen; stark; schönheit; vollkommenen; stärke; vollkommene; unversehrt; schönes; gedeihen; schöner; vollkommener; mächtiger; starken; starke; starker; zauberkraft; ruhen; füllen; ruhe; vollkommenes; mächtigen; fülle; prächtigen; zufriedenstellen; mächtige; schönem; zufriedenstellt; zufriedengestellt; erfüllen; mächtigkeit; reichtum; reichlich; zufriedenheit; beruhigt; stärker; wirkungsmächtig; zufriedener; überfluss; bemächtigt; befriedet; stärken; schöngesichtige; bemächtigen; wasserfülle; ruhig; starkem; gewaltig; gedeihe; zufriedenstellend; prächtig; gedeiht; gewaltigen; ruhebett; überfülle; verschönern; friedens; wohlergehens; vollkommenem; ruheplatz; zufriedenzustellen; gedeihend; schöngesichtiger; bevollmächtigter; armeskraft; mächtigem; bemächtige; gesunden; zufriedenstelle; wirkungsmächtigkeit; armkraft; zufriedene; wirkungsmächtigen; lebenskraft; überflusses; im überfluss; lautstärke; erfülle; zufriedenen; gewaltigem; befrieden; starkes; befriedete; schöngesichtigen; beruhigen; ruhigem; unversehrten; verschönert; prächtige; ruhigen; ruhestätte; wohlstand; unversehrtem; gedeihender; prächtiges; unversehrter; bemächtigte; wirkungsmächtiges; zufriedenstellte; füllens; führungskraft; kraftvollen; wirkungsmächtiger; reichtums; zaubermächtigen; kraftvoll; wunderschönen; kraftreicher; gewaltige; mächtigster; wirkungsmächtige; abwehrkraft; unversehrte; tatkraft; gesundung; ruhenden; siegeskraft; armstarken; überreichlich; prächtiger; gewaltigkeit; schönheiten; aufblühen; ruhet; großmächtiger; segensreich; herzenszufriedenheit; armstarke; gedeihenden; gedeihende; erblühend; starkarmigen; zeugungskraft; beruhigend; zufriedenstellst; reichlichen; lebenkraft; anmut; blühende; zufriedenstellende; friede; verschönerung; bestärken; ruhige; zufriedenstellendes; mächtigste; beruhigung; unversehrtheit; zaubermächtige; stärkeren; beruhigtheit; lautstarkem; ruhend; füllend; kornfülle; gewaltiger; gesunder; palastschönheiten; ruhebettes; glückwunsch; zufriedenstellung; bemächtigten; blühen; befrieder; großmächtigen; anmutsvoller; verschönen; üppig; ruhendem; wiedererstarken; ruheort; wunderschöner; ruhebetten; beruhige; schöngesicht; gewaltiges; armgewaltigen; gesundet; blühendem; schöngestaltiger; erblühender; angedeihen; beruhigens; reichlicher; zufriedenstellenden; unversehrtes; friedensjahren; stimmgewaltige; füllender; ruhest; mächtiges; zufriedenstellens; schönhändig; befrieders; zaubermächtig; körperkraft; ruheschrein; kraftvoller; kraftvolle; zufriedenstelt; beruhigende; mächtigsten; gesundmachende; stimmgewaltig; stärkende; wunderschön; ruhebetts; prächtigem; lautstark; befriedens; schutzkraft; gedeihenlassen; starksinniger; aufsichtskraft; blühender; gesundheitszustand; reichliche; anmutigen; starkarmige; wohlstands; gedeihst; gesundmachen; bevollmächtigers; schöngestaltet; bevollmächtigung; ruhebretter; ruhem; befriedeten; ermächtigung; befriedest; gedeihens; ruhestätten; üppiges; blühend; ruhendes; erstarkte; ruhende; kraftmoment; ruhelager; zufriedenem; ruhestandes; starkarmiger; ruhiger; beruhigte; segnende; ruhens; herzensfrieden; mächtigere; gesunde,abundance; abundance and wealth; abundance of food; abundant provisions; affluence; beautiful; beauty; benediction; bestowed blessing; blessed; blessing; bounty; calm; comeliness; fairness; flourish; flourishing; force; good health; graceful; gracefulness; harmony; health; healthy; in good health; intact; life and health; loveliness; might; mighty; nefer; overflowing; peace; peace and quiet; peaceful; perfect; perfection; physical strength; plentiful; plenty; power; powerful; profusion; prosperity; prosperous; prowess; quietude; riches; serenity; sound; sound body; soundness; splendor; state of peace; strength; strong; success; thrive; thriving; tranquility; vigor; wealth; wealth of goods; well being; well-being; wholesome; words of blessing,well_wishing,positive,0.7
ritual_recitation_rubric,spruch; rezitation; zu rezitieren; worte sprechen; spruch für; werde gesprochen; rezitation viermal; auftragen viermal; darbringen viermal; rubrik; ritualanweisung; vortragen; rezitieren; spruchfolge; rezitationstext; anweisung; formel sprechen,recitation; words to be spoken; spell; utterance; rubric; recite; to be said; magical spell; spoken formula; pronouncement; chapter; what is recited; recite the spell; rubric instruction; utter the formula; liturgical instruction,cultic_religious,neutral,0.0
funerary_offering_formula,versorgte; gerechtfertigt; totenpriester; totenopfer; versorgter; gerechtfertigte; versorgten; ehrwürdigkeit; gerechtfertigten; ehrwürdigen; ehrwürdige; versorgt; ein königsopfer; versorgtheit; totenopfers; totenpriesterin; gerechtfertigter; ehrwürdiger; totenpriesters; wohlversorgt; dertotenpriester; wohlversorgten; ein opfer das der könig gibt; ehrwürdiges; totenopfern; totenpriesterphyle; altehrwürdigen; königstotenopfer; totenpriestern; wohlversorgter; opferformel; stiftungstotenpriester; wohlversorgte; imachu; alletotenpriester; imach; altehrwürdig; versorgtem; speisung des toten; altehrwürdiger,an offering which the king gives; feed the deceased; food for the deceased; funerary offering; funerary text; hetep di nesu; htp-di-nesut; invocation offering formula; justified; ka-priest; mortuary formula; mortuary offering; offering for the dead; offering formula; offerings to the spirit; provisioning the dead; revered one; true of voice,funerary,neutral,0.2
funerary_transfiguration,erwachen; verklärung; verklärungssprüche; verklärt sein; verklärt werden; wiederbelebt; aufersteht; verklärt; verklärungsspruch; achwerdung; verklärter; verklärte; verklärungstexte; herrlichkeit; verklärungsritual; zum ach werden; geist werden,awakening of the dead; becoming a blessed spirit; becoming an akh; come forth; coming back to life; glorification; glorification of the dead; journey of the soul; journey to the afterlife; new life; nightly journey; passage through duat; passage through the duat; raised from death; raising the dead; rebirth after death; resurrection; revival; revive; rise again; spell of transfiguration; spiritualization; transfiguration; transformation in the afterlife; travel to the west; voyage of the dead,funerary,positive,0.4
negative_confession,ich habe nicht; halle der beiden maat; ich habe kein unrecht getan; sündlosigkeit; unschuldsbeteuerung; reinheitserklärung; schuldlos; vergehen; sünde; frevel; ich habe nicht getötet; ich habe nicht gestohlen; ich habe nicht gelogen; ich tat kein unrecht; zweiundvierzig richter; halle der beiden wahrheiten,confession before the gods; declaration of innocence; forty two judges; forty-two judges; hall of two truths; i have done no wrong; i have not sinned; negative confession; protestation of innocence; i have not stolen; i have not killed; i did no wrong,funerary,neutral,0.1
funerary_judgment,gerechtfertigt; gerichtshof; richten; gerichtet; waage; gericht; richtens; gerechtfertigter; gerichtshofes; handwaage; gerichtshöfe; urteil; standwaage; gerichtshalle; beurteilt; gerichtshofs; gerichtskollegium; rechtfertigen; urteilt; richtenden; totengericht; hingerichtet; beurteilen; richtend; verurteilt; gerechtfertigen; urteilsspruch; gerichteten; gerichtsbehörde; hinrichten; gerichtsverfahren; gerichtshöfen; gerichtsentscheides; gottesurteil; gerichts; geurteilt; gerichtes; gerichtsvorsteher; urteilen; urteilsfähig; gottesgericht; urteilte; gerichtsversammlung; abgeurteilt; gerichtshallen; gerichtsparteien; zukunftsgericht; hingerichteten; gerichtsentscheidung; gerichtshäuser; gerichtsurteil; hinzurichtende; verurteilung,acquit; acquitted before the tribunal; declared righteous; divine judgment; hall of judgment; heart on the scales; judgment; judgment of the dead; judgment scene; justified; maa-kheru; psychostasia; tribunal; true of voice; verdict; vindicated; weighing against maat; weighing of the heart; weighing of the soul,funerary,negative,-0.1
mummification_preservation,natron; balsamierer; mumie; balsamierungsstätte; balsam; balsamierungshalle; balsamierers; mumien; balsamierungsstätten; mumienbinden; balsamierung; balsamierern; mumienhülle; balsamierungszelt; mumifizierung; natronreinigung; einbalsamiert; einwickeln; balsamierungsöl; balsamiert; mumienbinde; mumiengestaltigen; natronkristalle; natrons; natronkorn; natrondoppelportion; einbalsamierung; natronpulver; natronnapf; natronarbeitern; natronhauses; natronportionen; anubisbalsamierer; mumienmaske; natronportion; balsamiere; balsamierungshaus; doppelnatronnapf; natronlösung; natronkügelchen; natrontempel; mumifizierens; natronspenden,bandage; bandaging; embalm; embalmers work; embalming; mummification; mummify; mummy; natron; preserve the body; wrapping the dead,funerary,neutral,0.0
opening_of_mouth,mund geöffnet; mund öffnen; mundöffnung; mundöffnungsgerät; mundöffnungs; mundöffnungsrituals; mundöffnungsritual; öffnung des mundes; mundöffnungszeremonie; belebung; wiederbelebung; augen öffnen; sinne öffnen,animate the statue; mouth opening ritual; open the mouth; opening of the mouth; restore the senses; reviving the mummy; ritual of the adze; opening of the mouth ritual; ritual adze; restore breath; reanimation rite; open the eyes,funerary,neutral,0.2
royal_legitimation,majestät; sohn des re; herrscher; leben gegeben; wie re; dem leben gegeben; könig von ober- und unterägypten; herr der beiden länder; herr der kronen; wie horus; geliebt von; herrschers; goldhorus; wie re ewiglich; nebti; beschenkt mit leben; vollkommener gott; geliebt von amun; wie atum; starker stier; wie ein gott; herrscherin; dem ewiglich leben gegeben; geliebt von amun-re; titulatur; mit leben beschenkt; dem leben gegeben sei; geliebt von ptah; herrlichkeiten; geliebt von aton; herrlichkeit; geliebt von re; beherrscher; vereinigung der beiden länder; geliebt von osiris; ewig leben gegeben; guter gott; goldhorusse; herrscherglück; senebtifi; anchnebti; gleich re; horusname; senebtifis; fremdlandherrschers; senebti; senebtif; senebtief; beherrschers; herrscherthron; sennebti; herrscherhaushaltes; qaanebti; fremdlandherrscher; nebtiname; königstitulatur; senebtisi; setibnebti; herrschern; majestätische; berherrscher,as ra; beloved of; beloved of amun; beloved of ra; beloved of the god; beloved of the gods; binding of the two lands; birth name; cherished by; divine nursing; endowed with life; epithet of majesty; favorite of; five names of the king; fivefold titulary; given all life; given life; given life forever; given life like ra; goddess suckling pharaoh; godlike forever; granted life; horus name; king at the breast of the goddess; kings epithet; kings names; life given to him; like a god; like horus; like ra; like the sun god; lord of the two lands; lotus and papyrus knot; loved by; majesty; mighty bull; nesu bity; nursing the king; perfect god; praise name of the king; resembling a god; royal epithet; royal honorific; royal names; royal titles; royal titulary; ruler; sema-tawy; son of re; suckling of the king; throne name; title of the king; unification of the two lands; uniting upper and lower egypt; whom the god loves,royal,positive,0.4
royal_coronation,diadems; königtum; gekrönt; doppelfederdiadem; diadem; thronbesteigung; diademe; krönungsfestes; gekrönten; gekrönte; krönen; krönung; großgekrönter,accession; accession to the throne; ascend the throne; assume the crown; coronation; crowning; crowning of the king; enthronement,royal,positive,0.6
royal_commemoration,gründung; denkmal; mauern; errichtet; errichten; baumeister; gegründet; aufrichten; jubiläumsfestes; bauen; sedfesten; erbaute; sedfeste; jubiläumsfesten; monumente; erbaut; sedfest; monument; errichtete; erbauen; sedfestes; gestiftet; jubiläumsfeste; gründungen; jubiläumsfest; bauarbeiten; herrichtet; denkmalreiche; wohlgegründet; grabmonuments; denkmale; hebsedfesten; monumenten; begründung; herrichten; jubiläum; wohlgegründetes; denkmals; hebsedfeste; monumentes; angestiftet,build; building; building project of the king; building work; ceremonial running with vases; construct; construction; erect; erecting; found a temple; gold of honor; gold of reward; golden collars; heb sed; heb-sed; jubilee; jubilee of the king; kings construction; laying the foundation; masonry; monument; monument erected by the king; raising a monument; renewal of kingship; reward of valor; ritual run of the king; royal building; royal foundation; royal jubilee; royal monument; royal reward; running ritual; sed festival; sed festival run; shebyu collar; stonework; temple built by the king; the king's course; thirty year festival,royal,positive,0.5
royal_decree,befehl; befehle; befehl des königs; anweisung; verfügung; königsbefehl; dekret; erlasse; weisung; erlass; erlassen; gebot; anordnung; verfügungsgewalt; königsbefehls; königsdekret; verfügungsrecht; anordnungen; dienstanordnung; verkündigung; dekrets; götterdekret; verordnung; erlasses; königserlass,announcement; command; command of the king; declaration; decree; edict; herald; instruction; kings order; order; ordinance; proclamation; public notice; royal command; royal decree; royal pronouncement; the command,royal_administrative,neutral,0.1
