code,phonetic,meaning,unicode
D41,,Arm with downward facing palm,𓂢
D42,mH,Arm with downward facing palm,𓂣
D43,Xwi,Arm with flail,𓂤
D44,Xrp,Arm with scepter sekhem,𓂥
D45,Dsr,Arm with brush,𓂦
D46,D,Hand,𓂧
D46A,idt,Hand with water,𓂨
D47,,Hand flat,𓂩
D48,Ssp,Palm without thumb,𓂪
D49,,Fist,𓂫
D5,,Eye with paint,𓁺
D50,Db,Vertical finger,𓂭
D51,,Horizontal finger,𓂮
D52,mt,Phallus,𓂱
D53,,Phallus with liquid,𓂲
D54,rd,Legs walking,𓂻
D55,,Legs walking (reverse of D54),𓂼
D56,b,Leg,𓂾
D57,,Leg with knife,𓂿
D58,b,Foot,𓃀
D59,,Foot with vase,𓃁
D6,,Eye with eyebrow,𓁻
D60,wab,Foot with water streaming,𓃂
D61,s3H,Toes,𓃃
D62,,Var. D61,𓃄
D63,,Var. D61,𓃅
D7,,Eye with paint lines,𓁼
D8,,Eye with markings,𓁽
D9,rmi,Eye weeping,𓁿
E1,kA,Bull,𓃒
E10,,Pig,𓃛
E11,,Dog,𓃜
E12,,Pig,𓃟
E13,,Cat,𓃞
E14,,Dog on standard,𓃟
E15,,Recumbent jackal,𓃢
E16,,Recumbent Jackal on shrine,𓃣
E17,,Jackal,𓃥
E18,,Jackal on standard R12,𓃧
E19,,O.K. form of last,𓃨
E2,,Bull preparing to charge,𓃓
E20,,Seth animal,𓃩
E21,mAi,Recumbent Seth animal,𓃭
E22,,Prowling lion,𓃬
E23,rw,Recumbent lion,𓃯
E24,,Panther,𓃮
E25,,Hippopotamus,𓃰
E26,,Elephant,𓃱
E27,,Giraffe,𓃲
E28,,Goat,𓃳
E29,,Long-horned bull,𓃴
E3,,Cow with horns,𓃔
E30,,Ibex,𓃵
E31,,Goat with collar,𓃶
E32,,Baboon,𓃷
E33,,Monkey,𓃸
E34,wn,Hare,𓃻
E4,,Sacred cow,𓃕
E5,,Cow with calf,𓃖
E6,,Horse,𓃗
E7,,Donkey,𓃘
E8,ib,Kid,𓃙
E9,iw,Newborn bubalis,𓃚
F1,Xr,Head of ox,𓃾
F10,,Head and neck of animal,𓄈
F11,,O.K. form of F10,𓄉
F12,wsr,Head and neck of jackal,𓄊
F13,wp,Horns of ox,𓄋
F14,,Combination of F13 and M4,𓄌
F15,,Combination of F14 and N5,𓄍
F16,,Horn,𓄎
F17,,Combination of F16 and D60 water vessel,𓄏
F18,bH,Tusk of elephant,𓄑
F19,,Jawbone of ox,𓄒
F2,,Head of ox with horns,𓃿
F20,,Tongue,𓄓
F21,msDr,Ear of ox,𓄔
F22,pHwy,Hindquarters of leopard or lion,𓄖
F23,,Foreleg of ox,𓄗
F24,,Reverse of F23,𓄘
F25,,Leg and hoof of ox,𓄙
F26,,Skin with tail,𓄚
F27,,Skin of cow,𓄛
F28,,Skin of goat,𓄜
F29,sti,Combination of F28 + arrow,𓄝
F3,,Head of hippopotamus,𓄁
F30,,Inflated skin,𓄞
F31,ms,Three fox skins,𓄟
F32,XpS,Animal belly and tail,𓄡
F33,,Tail,𓄢
F34,ib,Heart,𓄣
F34,ib,Heart,𓄣
F35,nfr,Heart and windpipe,𓄤
F36,,Lung and windpipe,𓄥
F36,,Lung and windpipe,𓄥
F37,,Backbone and ribs,𓄦
F38,,Combination F37 + D40,𓄧
F39,Abd,Backbone and spinal cord,𓄨
F4,tp,Forepart of lion,𓄂
F40,Aw,Backbone and spinal cord at each end,𓄩
F41,,Vertebrae,𓄪
F42,,Rib,𓄭
F42,,Rib,𓄭
F43,,Combination ribs,𓄮
F44,,Leg bone with meat,𓄯
F45,,Heifer uterus,𓄰
F46,,Intestine,𓄲
F46,,Intestine,𓄲
F47,,Intestine coiled,𓄳
F48,,Var. of F46,𓄴
F49,,Var. of F46,𓄷
F5,Ss3,Head of bubalis,𓄃
F50,,Combination of F46 and S29,𓄸
F51,,Piece of flesh,𓄵
F52,,Excrement,𓄽
F6,,Forepart of bubalis,𓄄
F7,,Head of ram,𓄅
F8,,Forepart of ram,𓄆
F9,,Head of leopard,𓄇
G1,A,Egyptian vulture,𓄿
G10,,Falcon in sacred bark,𓅈
G11,,Falcon with two plumes,𓅉
G12,,Falcon image with flail,𓅊
G13,Hr,Falcon image with S9,𓅏
G14,mt,Vulture,𓅐
G15,,Vulture with flail,𓅑
G16,,Vulture and cobra,𓅒
G17,m,Owl,𓅓
G18,mm,Two owls,𓅔
G19,,Combination of G17 + D37,𓅕
G2,AA,Two vultures,𓅀
G20,m,Combination of G17 + D36,𓅔
G21,,Guinea fowl,𓅕
G22,,Hoopoe,𓅖
G23,,Lapwing,𓅗
G24,,Lapwing crested,𓅘
G25,ax,Crested ibis,𓅛
G26,DHwty,Sacred ibis on standard,𓅜
G26A,,Sacred ibis,𓅞
G27,dSr,Flamingo,𓅝
G28,,Black ibis,𓅞
G29,,Jabiru,𓅟
G3,Ai,Combination of G1 + U1,𓅁
G30,,Three jabirus,𓅠
G31,,Heron,𓅣
G32,,Heron on perch,𓅤
G33,,Egret,𓅥
G34,,Ostrich,𓅦
G35,aq,Cormorant,𓅥
G36,wr,Swallow,𓅦
G37,bin,Sparrow,𓅧
G38,gb,White goose,𓅨
G39,sA,Pintail duck,𓅩
G4,,Buzzard,𓅂
G40,pA,Duck flying,𓅪
G41,xn,Duck landing,𓅫
G42,,Fattened bird,𓅰
G43,w,"Quail chick, var. Z7",𓅱
G44,ww,Two quail chicks,𓅲
G45,wA,Combination of G43 + D36,𓅳
G46,,Combination of G43 + U1,𓅶
G47,,Duckling,𓅵
G48,,Three ducklings in nest,𓅸
G49,,Ducks’ heads protruding from pool,𓅹
G5,Hr,Falcon,𓅃
G50,rXty,Two plovers,𓅺
G51,,Bird pecking fish,𓅻
G52,,Goose feeding,𓅼
G53,,Human headed bird,𓅽
G54,wSm,Plucked bird,𓅹
G6,,Falcon with flail,𓅄
G7,,Falcon on standard,𓅅
G7A,,"Var of G7, Falcon in boat",𓅇
G7B,,"Var of G7, G7a",𓅈
G8,,Combination of G5 + S12,𓅆
G9,,Falcon with sun disk,𓅇
H1,pA,Head of duck,𓅿
H2,,Head of crested bird,𓆀
H3,,Head of spoonbill,𓆁
H4,,Head of vulture,𓆂
H5,,Wing,𓆃
H6,Sw,Feather,𓆄
H6A,,M12,M4
H7,,Claw,𓆅
H8,swt,Egg,𓆇
I1,mzH,Lizard,𓆈
I10,D,Cobra,𓆓
I11,,Cobra with feather,𓆔
I12,,Cobra rearing,𓆔
I13,,Combination of I12 + V30,𓆕
I14,,Snake,𓆗
I15,,Snake with feather,𓆘
I2,Styw,Turtle,𓆉
I3,,Crocodile,𓆊
I4,,Crocodile on shrine,𓆋
I5,,Crocodile with curved tail,𓆌
I6,,Crocodile scales,𓆎
I6,,Crocodile scales,𓆎
I7,wHm,Frog,𓆏
I8,Hfn,Tadpole,𓆐
I9,f,Horned viper,𓆑
K1,,Tilapia fish,𓆛
K2,,Barbel fish,𓆜
K3,,Mullet fish,𓆝
K4,,Oxyrhynchus fish,𓆞
K5,,Pike fish,𓆟
K6,,Fish scale,𓆠
K7,,Blowfish,𓆡
L1,xpr,Scarab beetle,𓆣
L2,bit,Bee,𓆤
L3,,Fly,𓆥
L4,,Locust,𓆦
L5,,Centipede,𓆧
L6,,Shell,𓆩
L6,,Shell,𓆩
L7,,Scorpion,𓆫
M1,,Tree,𓇁
M10,,Lotus bud,𓆹
M11,,Flower and stem,𓆻
M12,xA,Lotus plant,𓆱
M13,wAD,Papyrus stem,𓇲
M14,,Combination of M13 and I10,𓇳
M15,,Papyrus clump with downward facing buds.,𓇴
M16,iAdt,Papyrus clump,𓆵
M17,i,Reed leaf,𓇋
M18,i,Combination of M17 + D54,𓇌
M19,,Conical cakes between signs M17 and U36,𓇎
M2,Hn,Plant,𓆧
M20,sm,Reed field,𓇍
M21,,Reed field with root,𓇐
M22,nn,Rush with shoots,𓇓
M23,sw,Sedge,𓇔
M24,rsw,Combination sedge + mouth,𓇕
M25,,Combination of M26 + M24,𓇖
M26,Smaw,Upper Egypt sedge,𓇗
M27,,Combination of M26 + D36,𓇘
M28,,Combination of M26 + V20,𓇙
M29,nDm,Pod,𓇛
M3,Xt,Branch,𓆨
M30,bnr,Root,𓇜
M31,,Rhizome,𓇝
M32,,Var of M31,𓇟
M33,,Grain,𓇠
M34,,Emmer sheaf,𓇣
M35,,X2,X3
M35,,Grain heap,𓇤
M36,,N34,F43
M36,,Flax bundle,𓇥
M37,,Flax bundle with stems,𓇤
M38,,Flax bundle,𓇧
M39,,Basket of fruit or grain,𓇨
M4,rnpt,Stripped palm branch,𓆳
M40,iSt,Bundle of reeds,𓇩
M40,iSt,Bundle of reeds,𓇩
M41,,Wood log,𓇫
M42,wAD,Flower,𓇷
M43,,Grape vines on props,𓇭
M44,,Thorn,𓇮
M5,,Combination of M4 + X1,𓆴
M6,,Combination of M4 + D21,𓆵
M7,,Combination of M4 + Q3,𓆶
M8,3Xt,Pool with lilies,𓆷
M9,,Lotus flower,𓆸
N1,pt,Sky,𓇯
N1,pt,Sky,𓇯
N10,,Var of N9,𓇸
N11,3bd,Crescent moon,𓇹
N12,,Var. of N11,𓇺
N13,,Combination of half of N11 and N14,𓇻
N14,sbA,Star,𓇼
N15,,Star in circle,𓇽
N16,tA,Flat land with grain,𓇿
N17,,Flat land variant,𓈀
N18,iw,Strip of sand,𓇾
N19,,Two strips of sand,𓈃
N2,grH,Sky with broken scepter,𓇰
N20,,Tongue of land,𓈄
N21,,Tongue of land,𓈅
N22,,Tongue of land,𓈆
N23,,Irrigation canal,𓈇
N23,,Irrigation canal,𓈇
N24,,Irrigation canal system,𓈈
N25,xAst,Mountain rande,𓈋
N26,,Mountain,𓈌
N27,Axt,Sunrise over mountain,𓈍
N28,xa,Sun rising over mountain,𓈎
N29,q,Sandy slope,𓈏
N3,,Sky with scepter,𓇱
N30,,Hill with shrubs,𓈐
N31,wAt,Road bordered by shrubs,𓈑
N32,,"Lump of clay, Var. Aa2 and F52.",𓈑
N33,,Grain of sand,𓈓
N34,,Metal Ingot,𓈔
N35,n,Water ripple,𓈖
N35A,,Three ripples,𓈗
N36,mr,Canal,𓈘
N37,S,Pool,𓈙
N38,,Pool variant,𓈚
N39,,Pool with peg,𓈛
N4,Snyt,Sky with rain,𓇲
N40,,Combination of N37 and D54,𓈜
N41,bw,Well with water,𓈥
N42,Hw,Var. of N41,𓈦
N5,ra,Sun disk,𓇳
N5,ra,Sun disk,𓇳
N6,,Sun with uraeus,𓇴
N7,,Combination of N5 + T28,𓇸
N8,3Xw,Sun with rays,𓇶
N9,,Moon,𓇷
O1,pr,House plan,𓉐
O10,Hwt,Combination of O6 + G5,𓉙
O12,,Palace with battlements,𓉥
O13,,Enclosure with battlements,𓉦
O14,,Var. of O13,𓉧
O15,,Walled enclosure with buttresses + W10 + X1,𓉨
O16,,Gateway with serpents,𓉩
O17,,Var. of O16,𓉪
O18,,Shrine in profile,𓉫
O19,,Shrine in profile with poles,𓉬
O2,,Combination of O1 + T3,𓉑
O20,,Shrine,𓉭
O21,,Shrine Facade,𓉯
O22,,Booth supported by pole,𓉱
O23,,Double platform,𓉲
O24,,Pyramid surrounded by wall,𓉡
O25,,Obelisk,𓉴
O26,,Stela,𓉶
O27,,Hall with columns,𓉸
O28,iwn,Column with tenon,𓉣
O29,aA,Wooden column,𓉥
O29V,,Vertical wood column,𓉼
O3,,Combination of O1 + P8 + X3 + W22,𓉒
O30,,Supporting pole,𓉽
O30,,Supporting pole,𓉽
O31,,Door variant,𓉧
O32,,Gateway,𓊀
O33,,Palace or tomb facade,𓊁
O34,z,Door bolt,𓉻
O35,,Combination of O34 + D54,𓊄
O36,,Wall,𓊅
O36,,V28,Aa32
O37,,Falling wall,𓊊
O38,,Corner of wall,𓊋
O39,,Stone slab,𓉷
O4,H,Reed shelter,𓉔
O40,,Stairway,𓊍
O41,,Double stairway,𓊎
O42,,Fence,𓊏
O42,,Fence,𓊏
O43,,Var. of O42,𓊐
O44,,Min emblem,𓊑
O45,,Domed building,𓊒
O46,,Var. of O45,𓊓
O47,,Enclosed mound,𓊔
O48,,Enclosure variant,𓊕
O48,,Enclosure variant,𓊕
O49,niwt,Town with crossroads,𓊖
O5,,Combination shelter,𓉓
O50,sp,Threshing floor with grain,𓊗
O51,,Grain mound on mud floor,𓊚
O6,Hwt,Plan of rectangular enclosure,𓉕
O7,,Enclosure variant,𓉖
O8,,Combination of O7 + O29,𓉟
O9,,Combination of O7 + O30,𓉘
P1,dpt,Boat on water,𓊛
P10,,Steering oar,𓊦
P11,,Mooring post,𓊧
P1A,,Boat upside down,𓊜
P2,,Ship sailing,𓊝
P3,,Sacred barque,𓊝
P4,,Boat with net,𓊠
P5,,Sail,𓊡
P6,,Mast,𓊢
P7,,Combination of P6 +D36,𓊣
P8,xrw,Oar,𓊩
P9,,Combination of P8 + I9,𓊥
Q1,st,Seat,𓊪
Q2,,Portable seat,𓊫
Q3,p,Stool,𓊬
Q3,p,Stool,𓊬
Q4,,Headrest,𓊫
Q5,,Chest,𓊬
Q6,,Coffin,𓊭
Q7,xt,Brazier with flame,𓊰
R1,,Table with jug and loaves,𓊯
R10,,Combination of R8 + T28 + N29,𓊻
R11,Dd,Djed pillar,𓊽
R12,,Standard,𓊾
R13,,Combination of G5 + R14,𓊿
R14,imntt,Feather on standard,𓋀
R15,,Spear as standard,𓋁
R16,,Scepter with feathers,𓋂
R17,,Feathered wig with pole,𓋄
R18,,Var. of R17,𓋅
R19,,Combination of S40 + feather,𓋆
R2,,Table with bread slices,𓊰
R20,,Seshat emblem,𓋇
R21,,Var. of R20,𓋈
R22,,Min emblem,𓋉
R23,,Var. of R22,𓋊
R24,,Combination flag,𓊿
R25,,Var. of R24,𓋌
R3,,Low table with Jug and loaves,𓊲
R4,Htp,Bread loaf on mat,𓊵
R5,,Censer,𓊶
R6,,Var. of R5,𓊷
R7,,Incense bowl,𓊸
R8,nTr,Flag,𓊹
R8,nTr,Flag,𓊹
R9,,Combination of R8 + V33,𓊺
S1,,White crown of Upper Egypt,𓋑
S10,,Headband,𓋜
S11,,Collar,𓋝
S11,,M42,N15
S12,nbw,Collar of beads,𓋡
S13,,Combination of S12 + D58,𓋟
S14,,Combination of S12 + T3,𓋠
S14A,,Combination of S12 + S40,𓋡
S15,,Faience pectoral,𓋣
S16,,Var. of S15,𓋤
S17,,Var of S15,𓋥
S18,,Bead necklace,𓋧
S19,sT,Necklace and cylinder seal,𓋨
S2,,Combination of S1 + V30,𓋒
S20,,Necklace and cylinder seal,𓋩
S21,anx,Ring,𓋭
S22,,Shoulder knot,𓋫
S23,,Knotted cloth,𓋬
S24,Tz,Knotted belt,𓋯
S24,Tz,Knotted belt,𓋯
S25,,Garment with ties,𓋮
S26,,Apron,𓋯
S27,mnxt,Horizontal strips of cloth,𓋲
S28,sfX,Cloth with fringe + S29,𓋴
S29,s,Folded cloth,𓋴
S3,HDt,Red crown of Lower Egypt,𓋠
S30,,Combination of S29 + I9,𓋵
S31,,Combination of S29 + U1,𓋶
S32,,Cloth iwht fringe,𓋷
S33,,Sandal,𓋸
S34,anx,Sandal strap,𓋹
S35,,Sunshade,𓋺
S36,,Var. of S35,𓋼
S37,,R15,R14
S37,,Fan,𓋽
S38,HqA,Crook,𓋾
S38,HqA,Crook,𓋾
S39,,Crook,𓋿
S4,,Combination of S3 + V30,𓋕
S40,wAs,Scepter with Seth animal,𓌀
S40,wAs,Was scepter,𓌀
S41,,Scepter with spiral shaft and Seth animal,𓌁
S42,xrp,Sekhem scepter,𓌂
S43,,Staff,𓌃
S44,,Staff with flail,𓌄
S45,,Flail,𓌅
S5,,Combination of red and white crown,𓋖
S6,,Combination of S5 + V30,𓋗
S7,,Blue Crown,𓋙
S8,,Atef crown,𓋚
S9,,Double plumes,𓋛
T1,,Angular headed mace,𓌇
T10,,Composite bow,𓌔
T11,,Arrow,𓌕
T12,,Bowstring,𓌗
T13,,Wood tied together,𓌘
T14,,Throw stick,𓌙
T15,,Var. of T14,𓌚
T16,,Scimitar,𓌛
T17,,Chariot,𓌝
T18,,Crook with package,𓌍
T19,,Bone harpoon head,𓌟
T19,,R21,T20
T2,,T3 tilted,𓌈
T20,,Var. of T19,𓌠
T21,anx,Harpoon,𓌡
T21,anx,Harpoon,𓌡
T22,Aw,Arrowhead,𓌔
T23,,Var. of T22,𓌣
T24,,Fishing net,𓌤
T25,,Reed Float,𓌥
T26,,Bird Trap,𓌦
T27,,Var. of T26,𓌧
T28,nmt,Butcher’s block,𓌘
T29,,Combination of T28 + T30,𓌩
T3,,Mace with round head,𓌁
T30,dmt,Knife,𓌪
T31,,Knife sharpener,𓌫
T32,,Combination of T31 + D54,𓌬
T33,,Butcher’s knife sharpener,𓌮
T34,,Butcher’s knife,𓌰
T35,,Var. of T34,𓌱
T35,,U29,U28
T4,,Var of T3,𓌋
T5,,Combination of T3 + I10,𓌌
T6,,Combination of T5 + extra I10,𓌍
T7,,Axe,𓌎
T7A,,Axe,𓌏
T8,,Dagger,𓌐
T8A,,Dagger,𓌑
T9,,Bow,𓌒
T9,,T10,T9a
T9A,,Var of T9,𓌓
U1,mA,Sickle,𓌀
U10,,Combination of U9 + M33,𓌾
U11,,Combination of S38 + U9,𓌿
U12,,Combination of D50 + U9,𓍀
U13,,Plow,𓍁
U14,,Two branches joined,𓍂
U15,Hnk,Sledge,𓌨
U16,,Hoe variant 2,𓍄
U16,,Sled with jackal head bearing a load,𓍄
U17,,Pick with pool,𓌧
U18,,Var. U17,𓍆
U18,,Aa7,U14
U19,nwt,Adze,𓌩
U2,,Var. of U1,𓌴
U20,,Var. of U19,𓍈
U21,stp,Adze with wood block,𓌫
U22,,Chisel,𓍊
U23,Abu,Chisel,𓌰
U24,,Drill for stone,𓍍
U25,,Var. of U24,𓍎
U26,,Drill for beads,𓍏
U26,,U24,U27
U27,,Var. of U26,𓍐
U28,Df,Fire drill,𓌴
U29,,Fire drill variant,𓌵
U3,,Combination of U1 + D4,𓌵
U30,,Kiln,𓍔
U31,,Baker’s rake,𓍕
U32,,Mortar and pestle,𓍖
U33,ti,Pestle,𓌻
U34,,Spindle,𓍙
U35,,Combination of U34 + I9,𓍚
U36,Hm,Club used in washing,𓍛
U36,Hm,Washing club,𓍛
U37,,Razor,𓍜
U38,,Scale,𓍝
U39,,Scale post,𓍞
U4,,Combination of U1 + Aa11,𓌶
U40,wTs,Var. of U39,𓌿
U41,,Plumb bob,𓍠
U5,,Var. of U4,𓌷
U6,mr,Hoe,𓌥
U7,mr,Hoe variant,𓌦
U8,,Hoe,𓌼
U9,,Grain measure with grain streaming outwards,𓌡
V1,Sn,Coil of rope,𓍢
V10,sT,Oval cartouche,𓍫
V11,,End of cartouche,𓍸
V12,,String,𓍼
V13,t,Tethering rope,𓏏
V14,,Rope variant,𓍪
V15,,Combination of V13 and D54,𓍦
V16,sS,Hobble for cattle,𓍬
V17,,S34,V18
V17,,Herdsman’s shelter,𓎃
V18,,Var. of V17,𓎄
V19,mD,Hobble for cattle,𓍯
V19,mD,Hobble coil,𓍯
V2,,Combination of V1 + O34,𓍣
V20,mD,Hobble for cattle sans crossbar,𓎆
V21,,Combination of V20 + I10,𓎓
V22,,Whip,𓎔
V23,,Whip variant,𓎕
V23,,Whip variant,𓎕
V24,,Cord on Stick,𓎗
V25,,Var. of V24,𓎘
V25,,S42,U23
V26,,Spool with thread,𓎙
V27,,Var. of V26,𓎚
V28,H,Wick,𓎛
V29,wD,Swab,𓎜
V3,,"Same as V2, but with two additional coils",𓍮
V30,nb,Basket,𓎟
V30,nb,Basket,𓎟
V31,k,Basket with handle,𓎡
V31A,,V31 reversed,𓎢
V32,,Y2,Y1
V32,,Wicker satchel,𓎣
V33,,V7,V34
V33,,Linen bag,𓎤
V34,,Var. of V33,𓎥
V35,,M41,H8
V35,,Var. of V33,𓎧
V36,,Receptacle,𓎨
V37,,Bandage,𓎩
V38,,Bandage,𓎩
V39,,Tie,𓎬
V4,wA,Lasso,𓍥
V5,,Looped rope,𓍰
V6,Sr,Cord with loop facing downwards,𓍧
V7,Sn,Cord with loop facing upwards,𓍨
V8,,Rope circle,𓍩
V9,,Round cartouche,𓍶
W1,,Alabaster bowl,𓎯
W10,,Bowl,𓎸
W10A,,Pot,𓎻
W11,g,Ring stand,𓎶
W12,,Ring stand,𓎽
W13,,N41,T28
W13,,Pot,𓎾
W14,Hb,Water jar,𓎼
W15,Hb,Tall jar with water,𓎽
W16,,Combination of W15 + W12,𓎾
W17,xnt,Tall jars in rack.,𓏀
W18,,Jars in row,𓏁
W19,mi,Milk jug,𓏂
W2,,Oil jar without ties,𓎰
W20,,Milk jug with leaf,𓏈
W21,,Wine jars,𓏉
W22,nw,Beer jugs,𓏃
W23,Hzt,Jug with handles,𓏄
W24,nw,Bowl,𓏅
W25,ini,Combination of W24 + legs,𓏆
W3,,Alabaster basin,𓎱
W4,,Combination of W3 + O22,𓎳
W5,,Combination of W3 + T28,𓎳
W6,,Vessel variant,𓎴
W7,,Granite bowl,𓎶
W8,,Var. of W7,𓎷
W9,nwt,Stone jug,𓎷
X1,t,Small bread loaf,𓏏
X2,,Tall bread loaf,𓏐
X3,,Var. of X2,𓏑
X4,pAt,Round bread,𓏒
X4,pAt,Round bread,𓏒
X5,,Var. of X4,𓏕
X6,,Round loaf with baker’s mark,𓏖
X7,,Half loaf of bread,𓏔
X8,di,Conical bread,𓏕
Y1,mDAt,Papyrus scroll,𓏛
Y1V,,Papyrus scroll (vertical),𓏜
Y2,,Scroll tied,𓏜
Y3,,Scribal kit,𓏝
Y4,,Y4 reversed,𓏞
Y5,mn,Game piece,𓏟
Y6,,Game piece,𓏡
Y7,,Harp,𓏢
Y8,,Sistrum,𓏣
Z1,,Stroke,𓏤
Z10,,Var. of Z9,𓏵
Z11,,Crossed planks,𓏬
