characters,clean_text
z ꜣ f s m s w ꞽ m ꞽ r ʾ s š r w n f r ẖ n t,zꜣ f smsw ꞽmꞽ rʾ sšrw nfr ẖnt
ḥ t p f,ḥtp f
ꞽ n ḏ ḥ r k w s ꞽ r ḫ n t ꞽ ꞽ m n t ꞽ w,ꞽnḏ ḥr k wsꞽr ḫntꞽ ꞽmntꞽw
ḫ b ꜣ f n f ꞽ n b t s ṯ t,ḫbꜣ f n f ꞽnbt sṯt
w d i ̯ t ꜣ ṯ t,wdi̯t ꜣṯt
ꞽ r w r w n n f ḥ ꜣ t ʾ s ḫ r f ḫ f t w ḏ k ꜣ f,ꞽr wr wnn f ḥꜣ tʾ sḫr f ḫft wḏ kꜣ f
n b ꞽ w t m r w t t ḥ r w k m t ḥ ꜣ t ꞽ r t b ꜥ n t r ꜥ w,nbꞽwt mrwtt ḥrw kmt ḥꜣt ꞽrt bꜥnt rꜥw
ꞽ z ẖ ꜣ w n b ẖ r ꞽ ḥ ꜣ b n b w ꜥ b n b r m ṯ n b t s w ꜣ i ̯ t ꞽ s n ḥ r w ḏ p n m r r t n ḥ z i ̯ n t n n ṯ r t n s w ḏ t n ꞽ ꜣ w t t n n ẖ r d t n m ꞽ ḏ d t n,ꞽ zẖꜣw nb ẖrꞽ ḥꜣb nb wꜥb nb rmṯ nbt swꜣi̯tꞽ sn ḥr wḏ pn mrr tn ḥzi̯ n tn nṯr tn swḏ tn ꞽꜣwt tn n ẖrd tn mꞽ ḏd tn
ꞽ w m k t t t ꞽ m ḥ ꜣ t s ꜥ ḥ w n b w ꞽ m ꞽ w ꜣ ḫ t,ꞽw mkt ttꞽ m ḥꜣt sꜥḥw nbw ꞽmꞽw ꜣḫt
w ḥ ꜥ f q ꜣ s w ꞽ,wḥꜥ f qꜣsw ꞽ
t t ꞽ,ttꞽ
s n ṯ r n b s ꞽ r p w ꜥ ḥ s n ṯ r,snṯr nbs ꞽrp wꜥḥ snṯr
ḏ s r t,ḏsrt
ꞽ m i ̯ s n ḥ m i ̯ r ṯ m s b ꜣ,ꞽmi̯ sn ḥmi̯ r ṯ m sbꜣ
r d n ꞽ š n ḏ t,rd nꞽ šnḏt
m ẖ n t ꞽ ꞽ n i ̯ n ꞽ n w,mẖntꞽ ꞽni̯ n ꞽ nw
ḏ i ̯ f s n f m m s ꜣ ḏ t f ꞽ m m s ḏ r f ꞽ,ḏi̯ f snf m msꜣḏt fꞽ m msḏr fꞽ
t t ꞽ p w f n ḏ s s n,ttꞽ pw fnḏ ssn
ꞽ w ꜣ r n,ꞽwꜣ rn
s ḫ r p w n g r ḥ ḫ p r,sḫr pw n grḥ ḫpr
ꞽ n k n w n ꞽ ꞽ ꞽ ḏ s f n ḫ ḫ m m,ꞽnk nw nꞽ ꞽꞽ ḏs f n ḫḫmm
z ꜣ f ꜥ n ḫ w,zꜣ f ꜥnḫw
q r s t f m ẖ r n ṯ r z m y t ꞽ m n t ꞽ t ꞽ ꜣ w i ̯ w n f r w r t ḫ p i ̯ f ḥ r w ꜣ t n f r w t ḫ p p w t ꞽ m ꜣ ḫ w ꞽ m s n,qrst f m ẖr nṯr zmyt ꞽmntꞽt ꞽꜣwi̯w nfr wrt ḫpi̯ f ḥr wꜣt nfrwt ḫppwt ꞽmꜣḫw ꞽm sn
w d i ̯ r t ꜣ ḥ r m n ꞽ f r s w ꜣ i ̯ ꜣ t ꞽ h f,wdi̯ r tꜣ ḥr mnꞽ f r swꜣi̯ ꜣt ꞽh f
ꞽ š š w s t ẖ z m ꞽ n,ꞽššw stẖ zmꞽn
ḥ t p n k r ꜥ w ꞽ m ꞽ p t s ḥ t p f n k n b t D U,ḥtp n k rꜥw ꞽmꞽ pt sḥtp f n k nbtDU
p r i ̯ n ꞽ k ꜣ ꞽ,pri̯ n ꞽ kꜣ ꞽ
n ꞽ ḏ t k ꞽ ḫ t n b t n ꞽ k ꜣ n ꞽ n ꞽ t ꞽ ḫ t n b t n ꞽ ḏ t k ꞽ ḫ t n b t,nꞽ ḏt k ꞽḫt nbt nꞽ kꜣ nꞽ nꞽt ꞽḫt nbt nꞽ ḏt k ꞽḫt nbt
ḥ w i ̯ w w n ꞽ s ḥ w i ̯ ꞽ t m w,ḥwi̯w wnꞽs ḥwi̯ ꞽtmw
w ꜥ ḥ t,wꜥḥt
s ꞽ ꜣ m n ṯ r,sꞽꜣm nṯr
ꞽ w w ḥ m n w n ꞽ s ḫ ꜥ w m p t,ꞽw wḥmn wnꞽs ḫꜥw m pt
ꞽ w ꞽ t ꞽ b ꜣ ꜣ w,ꞽw ꞽt ꞽ bꜣꜣw
ḏ b ꜥ ꞽ s ꜣ u ̯ f s ꞽ n ḥ n f,ḏbꜥ ꞽ sꜣu̯ f sꞽn ḥn f
p n w,pnw
n z w b ꞽ t ꞽ ḫ ꜥ i ̯ s ḫ m w ꞽ n b t ꞽ ḥ t p n ṯ r w ꞽ ꞽ m f,nzw bꞽtꞽ ḫꜥi̯ sḫmwꞽ nbtꞽ ḥtp nṯrwꞽ ꞽm f
ꜥ ḥ ꜥ n ṯ ꜣ i ̯ n f n f ꞽ ꜣ ꜣ y t n t ꞽ s r w ꜣ ḏ r f,ꜥḥꜥn ṯꜣi̯n f n f ꞽꜣꜣyt nt ꞽsr wꜣḏ r f
w n n k ꜥ ꜣ p t s n ḫ b ḫ b n k z w r w ꞽ s š n n k ḏ b t m ḥ ꜣ t ꜥ ꜣ t,wn n k ꜥꜣ pt snḫbḫb n k z wrwꞽ sšn n k ḏbt m ḥꜣt ꜥꜣt
w n n z ḥ r p n q m r ḥ t p r i ̯ t ꞽ m m b ꜣ d t,wnn z ḥr pnq mrḥt pri̯t ꞽm m bꜣdt
t p ḥ s b p w n m d w n ṯ r,tp ḥsb pw n mdw nṯr
n f r n f r t n f r r f n f r t ꞽ,nfr nfrt nfr r f nfrtꞽ
g m i ̯ n ḥ m f ḥ ꜥ p ꞽ w r,gmi̯n ḥm f ḥꜥpꞽ wr
t p ꞽ b ꜣ t f m ḥ n f r ʾ k m t ꜣ,tpꞽ bꜣt f mḥn f rʾ k m tꜣ
r ḏ i ̯ n ḥ r w ꞽ n ḏ ṯ w ꜣ s t ḥ n ꜥ n b t ḥ w t,rḏi̯n ḥrw ꞽnḏ ṯw ꜣst ḥnꜥ nbt ḥwt
ꞽ w g m i ̯ t w s m ꜥ ḥ m t ḥ r b n w t,ꞽw gmi̯tw s m ꜥ ḥmt ḥr bnwt
q r s t ꞽ f m z m y t ẖ r t n ṯ r ꞽ m n t ꞽ t ḥ ꜣ t ꞽ ꜥ m ꜣ ꜥ s n ḏ m ꞽ b,qrstꞽ f m zmyt ẖrt nṯr ꞽmntꞽt ḥꜣtꞽ ꜥ mꜣꜥ snḏm ꞽb
z ꜣ n s w t n ẖ t f s m r w t ꞽ ꞽ n p w ẖ r ꞽ ḥ ꜣ b t h t ꞽ,zꜣ nswt n ẖt f smr wtꞽ ꞽnpw ẖrꞽ ḥꜣbt htꞽ
d w ꜣ m n w ḥ r n ḫ t ꞽ n ḥ ꜣ t ꞽ ꜥ ꞽ m ꞽ r ʾ ḥ w t n ṯ r z ꜣ n s w t ṯ s w ꞽ w ꜥ y t n ꜣ b ḏ w k w m s ḏ d f,dwꜣ mnw ḥr nḫt ꞽn ḥꜣtꞽ ꜥ ꞽmꞽ rʾ ḥwt nṯr zꜣ nswt ṯsw ꞽwꜥyt n ꜣbḏw kwms ḏd f
ꞽ w f r ḫ ṯ ꜣ s t p ḥ s q,ꞽw f rḫ ṯꜣs tp ḥsq
ꞽ w w n w r ꞽ t m ꜣ h w m w t m s i ̯ t ḥ t p k t r s,ꞽw wn wr ꞽt m ꜣhw mwt msi̯t ḥtp kt r s
p r ḥ ḏ,pr ḥḏ
ḥ m t f m r w t ꞽ n s,ḥmt f mrwt ꞽ n s
m k b ꜥ ḥ r n ꞽ m ꜥ k r s t ḥ m t ḏ d g r g r s n ṯ ꜣ y,m k bꜥḥ rn ꞽ m ꜥ k r st ḥmt ḏd grg r s n ṯꜣy
ꞽ n i ̯ n n k g b b s n t k ꞽ r g s k ꜣ s t t w ḥ n ꜥ n b t ḥ w t,ꞽni̯n n k gbb snt k ꞽr gs k ꜣst tw ḥnꜥ nbt ḥwt
ꞽ n ḏ f ṯ w m r n f n ꞽ ḥ r w z ꜣ n ḏ ꞽ t ꞽ f,ꞽnḏ f ṯw m rn f nꞽ ḥrw zꜣ nḏ ꞽtꞽ f
p r ḫ r w n ẖ r ꞽ t p n s w t z ẖ ꜣ w ꜥ n n s w t ḫ f t ḥ r s ḥ ḏ z ẖ ꜣ w w ꜥ n s w t ꞽ m ꞽ r ʾ p r ꜥ š ꞽ m ꜣ ḫ w ꞽ d w,pr ḫrw n ẖrꞽ tp nswt zẖꜣw ꜥ n nswt ḫft ḥr sḥḏ zẖꜣww ꜥ nswt ꞽmꞽ rʾ pr ꜥš ꞽmꜣḫw ꞽdw
w s r w n ꞽ t m ꞽ n k ꞽ r t ḥ r w m ꜣ t n f g s s m ꜥ s t š,wsrw nꞽt mꞽ n k ꞽrt ḥrw mꜣtn f gs s m ꜥ stš
t p m ḫ s b d,tp m ḫsbd
p z ḥ r ꜥ w ꞽ n n ꜥ w ṯ ꜣ z p ẖ r,pzḥ rꜥw ꞽn nꜥw ṯꜣz pẖr
t ꞽ ꜣ w p w n ꞽ ꞽ d t,tꞽꜣw pw nꞽ ꞽdt
n ṯ w t ꞽ s z ꞽ k m z ꜣ z ꞽ t k m t m s i ̯ w z ꞽ t b ꜣ q t s n q w f d t w ꜣ p t,n ṯwt ꞽs zꞽ km zꜣ zꞽt kmt msi̯w zꞽt bꜣqt snqw fdt wꜣpt
m ꜥ ꜣ i ̯ ꞽ b k ḥ r ḫ p š m ḥ r ꞽ ꞽ b ḏ ꜣ m k,m ꜥꜣi̯ ꞽb k ḥr ḫpš m ḥrꞽ ꞽb ḏꜣm k
ꞽ ꜣ t,ꞽꜣt
z ꜣ f n ꞽ ẖ t f ḥ z y r ꜥ w,zꜣ f nꞽ ẖt f ḥzy rꜥw
n n n ḏ t w ꞽ,nn nḏtw ꞽ
ẖ k r t n s w t w ꜥ t t h f t ꞽ,ẖkrt nswt wꜥtt hftꞽ
m ḏ ḥ w ꞽ n p w ḫ n t ꞽ t ꜣ ḏ s r z ḥ ꞽ n ṯ r ꞽ n p w ḥ q ꜣ n ṯ r ḥ m n ṯ r ꞽ g ꜣ ꞽ z ḫ n w p r w r s t ẖ ḫ r p f n ḫ w z ꜣ ꜥ b t ḥ m n ṯ r s š ꜣ t ꞽ r ꞽ ꞽ ḫ t n z w ḫ ꜥ i ̯ b ꜣ w z k r r n ꜥ ꜣ ḥ ṯ s r n n ḏ s,mḏḥw ꞽnpw ḫntꞽ tꜣ ḏsr zḥꞽ nṯr ꞽnpw ḥqꜣ nṯr ḥm nṯr ꞽgꜣꞽ zḫnw pr wr stẖ ḫrp fnḫw zꜣ ꜥbt ḥm nṯr sšꜣt ꞽrꞽ ꞽḫt nzw ḫꜥi̯ bꜣw zkr rn ꜥꜣ ḥṯs rn nḏs
w s r w n ꞽ t p w n n,wsrw nꞽt pw nn
h ꜣ w s r w m r i ̯ y r ꜥ w n ḏ n ṯ w ḥ r w,hꜣ wsrw mri̯y rꜥw nḏn ṯw ḥrw
w ḥ m s r n ḥ b t ḏ s r t p,wḥm s r nḥbt ḏsr tp
ḏ w i ̯ t r p t z p ꜣ ḥ r w r t ꜣ,ḏwi̯t r pt zpꜣ ḥrw r tꜣ
ꞽ y i ̯ n w n ꞽ s m ḫ t ꞽ t ꞽ f ꞽ y i ̯ n w n ꞽ s m ḫ t w s ꞽ r,ꞽyi̯n wnꞽs m ḫt ꞽtꞽ f ꞽyi̯n wnꞽs m ḫt wsꞽr
s ꜣ r m ḥ b s,sꜣr m ḥbs
w d n n f m s ꜥ ḥ f n b m s t f n b t,wdn n f m sꜥḥ f nb m st f nbt
ꞽ w k ꞽ r i ̯ k t w t w n b w n b,ꞽw k ꞽri̯ k twtw n bw nb
ꞽ d r f ḏ w t ꞽ r t k n ꞽ t p w ḫ r u ̯ ꞽ t m w,ꞽdr f ḏwt ꞽrt k nꞽt pw ḫru̯ ꞽtmw
ḏ d ꞽ n k r f ẖ r ꞽ s ḥ m m ṯ ꜣ z n ꞽ n ḥ b t f ḫ m n f ꜥ f ꞽ r d f ꞽ d g m y m r n ꞽ r i ̯ w n ꞽ,ḏdꞽn k r f ẖrꞽ sḥm m ṯꜣz nꞽ nḥbt f ḫmn f ꜥ fꞽ rd fꞽ dgmy mr n ꞽri̯w nꞽ
ḥ ꜣ n ꞽ š z p n b ꜥ w ꜣ i ̯ ꞽ ḥ n w n s ḫ t ꞽ p n ꞽ m f,ḥꜣ n ꞽ šzp nb ꜥwꜣi̯ ꞽ ḥnw n sḫtꞽ pn ꞽm f
ꜥ ḥ ꜥ n ꜣ t p n ꞽ s t r d p t t n,ꜥḥꜥn ꜣtpn ꞽ st r dpt tn
r ḫ n s w t ꞽ m ꞽ r ʾ ḥ z w w r n b k m w ꞽ ḏ d f,rḫ nswt ꞽmꞽ rʾ ḥzw wr nb kmwꞽ ḏd f
z ꜣ t n s w t ẖ k r t n s w t ḥ m t n ṯ r ḥ w t ḥ r w ḥ m t n ṯ r ḫ w i ̯ f w ꞽ n n s ḏ r k ꜣ ꞽ,zꜣt nswt ẖkrt nswt ḥmt nṯr ḥwt ḥrw ḥmt nṯr ḫwi̯ f wꞽ nn sḏr kꜣ ꞽ
ꞽ k r r w n ꞽ s ꜥ n t f t n ꞽ r k ꞽ ꜣ b t d i ̯ f s ḫ t ꞽ m s n m n w ꞽ k ꞽ w,ꞽk rr wnꞽs ꜥnt f tn ꞽr k ꞽꜣbt di̯ f sḫt ꞽm s n mnw ꞽkꞽw
ꜥ n ḫ f ꞽ m ꜥ n ḫ p p y n f r k ꜣ r ꜥ w ꞽ m,ꜥnḫ f ꞽm ꜥnḫ ppy nfr kꜣ rꜥw ꞽm
ẖ r ꞽ t p n s w t z ꜣ b ꜥ ḏ m r s š m n f r,ẖrꞽ tp nswt zꜣb ꜥḏ mr sšm nfr
š m i ̯ k p w š m i ̯ n k n ṯ r ꞽ s n ꜥ i ̯ t k q b ḥ w ꞽ ꞽ s,šmi̯ k pw šmi̯n k nṯr ꞽs nꜥi̯t k qbḥwꞽ ꞽs
n ṯ r ꞽ k n ṯ r ꞽ ḥ r w,nṯrꞽ k nṯrꞽ ḥrw
m ḥ ẖ t s,mḥ ẖt s
ḫ w t n z w,ḫwt nzw
n ḏ n ꞽ ḥ r ṯ b n r ꞽ t d p ꞽ t r ꜥ ḥ ḏ t d p ꞽ t t m w ḥ s s t n ṯ r m r r t p s ḏ t ꞽ m ꞽ t š t ꜣ,nḏ n ꞽ ḥr ṯ bnrꞽt dpꞽt rꜥ ḥḏt dpꞽt tmw ḥsst nṯr mrrt psḏt ꞽmꞽt štꜣ
h ꞽ w ḫ r s ḏ r z b n,hꞽw ḫr sḏr zbn
ꞽ r i ̯ n f w p w t m ꞽ ḏ d f,ꞽri̯ n f wpwt mꞽ ḏd f
w s ꞽ r w n ꞽ s m ꞽ r t ḥ r w ꞽ m t ḥ ꜣ t s t š,wsꞽr wnꞽs m ꞽrt ḥrw ꞽmt ḥꜣt stš
ḏ i ̯ n n k g b b ꞽ r t k ḥ t p k m ꞽ r t w r p n ꞽ m ꞽ k,ḏi̯n n k gbb ꞽrt k ḥtp k m ꞽrt wr pn ꞽmꞽ k
s ḫ t ḥ w t ḥ r w,sḫt ḥwt ḥrw
ꞽ w f r s n w,ꞽw f r snw
w ꜣ ḏ p p y n f r k ꜣ r ꜥ w m n ꞽ s ꞽ r t k ꞽ m t b ḫ ḫ w,wꜣḏ ppy nfr kꜣ rꜥw m nꞽs ꞽrt k ꞽmt bḫḫw
ꞽ ꜣ w w r ꞽ r k,ꞽꜣw wr ꞽr k
w r ḏ ꞽ w r ḏ r ꜥ,wrḏ ꞽ wrḏ rꜥ
s ꜣ ḫ t f ꞽ n ẖ r ꞽ ḥ ꜣ b t m z ẖ ꜣ w s š t ꜣ n p r m ḏ ꜣ t n ṯ r m w p r n p t ḏ ḥ w t ꞽ t t p ꞽ r n p t w ꜣ g ḥ ꜣ b z k r ḥ ꜣ b w r p r t m n w r k ḥ m ꜣ b d s m d t r ꜥ w n b,sꜣḫt f ꞽn ẖrꞽ ḥꜣbt m zẖꜣw sštꜣ n pr mḏꜣt nṯr m wp rnpt ḏḥwtꞽt tpꞽ rnpt wꜣg ḥꜣb zkr ḥꜣb wr prt mnw rkḥ m ꜣbd smdt rꜥw nb
p f r w m ẖ n w p n r w,pf rw m ẖnw pn rw
ꞽ r t m k ꞽ r i ̯ s t n w n ꞽ s ꞽ r i ̯ k ꜣ w n ꞽ s f ꜣ t m ꞽ t ꞽ f g b b,ꞽr tm k ꞽri̯ st n wnꞽs ꞽri̯kꜣ wnꞽs fꜣt m ꞽtꞽ f gbb
ꞽ w d p t r ꞽ y t m ẖ n w,ꞽw dpt r ꞽyt m ẖnw
s ḫ ꜣ w n f ḏ d n f s ꜣ,sḫꜣwn f ḏd n f sꜣ
ꞽ n ḏ ḥ r k w p i ̯ w ꜣ t ḫ n t ꞽ b ꜣ ꞽ w n w ꞽ n i ̯ ꞽ r i ̯ n f r t,ꞽnḏ ḥr k wpi̯ wꜣt ḫntꞽ bꜣ ꞽwnw ꞽni̯ ꞽri̯ nfrt
r ḏ i ̯ t z ẖ ꜣ w n ḏ t ḥ r ꞽ m ꞽ r ʾ ḥ m w k ꜣ k ꜣ ꞽ n f r w,rḏi̯t zẖꜣw nḏt ḥr ꞽmꞽ rʾ ḥmw kꜣ kꜣ ꞽ nfrw
s ḏ r k ꞽ r s k,sḏr k ꞽrs k
n b t p r n b t ꞽ w n t m ꜣ ꜥ t ḫ r w,nbt pr nbt ꞽwnt mꜣꜥt ḫrw
ḥ n q t p z n t ʾ ḫ ꜣ ḫ ꜣ,ḥnqt pzn tʾ ḫꜣ ḫꜣ
ꞽ n i ̯ t p r ḫ r w m n ʾ t n t p r ḏ t m ḥ ꜣ b n b r ꜥ w n b ḏ t,ꞽni̯t pr ḫrw m nʾt nt pr ḏt m ḥꜣb nb rꜥw nb ḏt
t f ꞽ t m,tf ꞽtm
ḫ t m w n b w š p s ꞽ,ḫtmw nbw špsꞽ
ḥ k n k ꞽ m s m r n s p w n ꞽ ḥ k n w,ḥkn k ꞽm s m rn s pw nꞽ ḥknw
d ꜣ b,dꜣb
k m t w r t m r n k n ꞽ ḥ w t k m w r,kmt wrt m rn k nꞽ ḥwt km wr
š s ꜣ w z t ḥ r m n r d s ꞽ w ꜥ r t s ꞽ m ḫ t š m i ̯ t,šsꜣw zt ḥr mn rd sꞽ wꜥrt sꞽ m ḫt šmi̯t
w n n t p ꜣ w n d ḥ r,wnn tpꜣw n dḥr
q r s t ꞽ f m ẖ r n ṯ r m ꞽ m ꜣ ḫ w ḫ r n ṯ r ꜥ ꜣ,qrstꞽ f m ẖr nṯr m ꞽmꜣḫw ḫr nṯr ꜥꜣ
b w t k ꜣ p w,bwt kꜣ pw
ḏ d z r ʾ p n ḫ f t r r k,ḏd z rʾ pn ḫft rrk
s ꜣ w s r w,sꜣw srw
ꜥ ḥ ꜥ n ḏ d n t ꜣ w b ꜣ y t,ꜥḥꜥn ḏdn tꜣ wbꜣyt
ẖ r ꞽ t p n s w t s š m n f r s n ḏ t,ẖrꞽ tp nswt sšm nfr sn ḏt
m ḫ m w n ꞽ s ꞽ m ꞽ d w ꜣ t,m ḫm wnꞽs ꞽmꞽ dwꜣt
ḏ ḏ k ꜣ p w ḥ n ꜥ n ṯ r,ḏḏ kꜣ pw ḥnꜥ nṯr
ẖ n i ̯ s w ꞽ m ꞽ w ꜣ ḫ t,ẖni̯ sw ꞽmꞽw ꜣḫt
r s w p w,rs wpw
z ꜣ f w p w ꜣ t n ḫ t n ḫ n,zꜣ f wp wꜣt nḫt nḫn
ḏ i ̯ n n k ḥ r w ꞽ r t f ꞽ ṯ i ̯ k w r r t ꞽ m s ḫ n t ꞽ n ṯ r,ḏi̯n n k ḥrw ꞽrt f ꞽṯi̯ k wrrt ꞽm s ḫntꞽ nṯr
ꞽ w s n m k r s ḫ p r ḫ r w y w k,ꞽw snm k r sḫpr ḫrwyw k
t ʾ ḥ n q t p z n š s m n ḫ t ḫ ꜣ ḫ ꜣ,tʾ ḥnqt pzn šs mnḫt ḫꜣ ḫꜣ
m r i ̯ t n t,mri̯t nt
ḏ ḥ w t ꞽ p ꞽ ꞽ t ꞽ n m t ꞽ m z ꜣ f m r n r ꜥ w m ꜥ b ṯ n n ṯ r,ḏḥwtꞽ pꞽ ꞽtꞽ nmtꞽ m zꜣ f mrn rꜥw m ꜥb ṯn nṯr
w r ꞽ t ꞽ p ḏ ṯ w m r n k p ꜣ ḏ,wr ꞽtꞽ pḏ ṯw m rn k pꜣḏ
z ꜣ b z ẖ ꜣ w s ḥ ḏ ḥ m w k ꜣ s ḥ t p w,zꜣb zẖꜣw sḥḏ ḥmw kꜣ sḥtpw
š s ꜣ w w b n w m g m ꜣ f,šsꜣw wbnw m gmꜣ f
m w ꞽ ꜣ t w r f,m wꞽꜣ tw r f
ꞽ r r k n ꞽ m m ꜣ ꜥ t ḏ r n t t w r s ꞽ ꜥ ꜣ s ꞽ w ꜣ ḥ s ꞽ,ꞽrr k n ꞽ m mꜣꜥt ḏr ntt wr sꞽ ꜥꜣ sꞽ wꜣḥ sꞽ
r ḏ i ̯ n t w k r d n ꞽ t n m ꜣ ꞽ r,rḏi̯ntw k r dnꞽt n mꜣꞽr
ḥ m t m r i ̯ t f ꞽ m ꜣ ḫ t ḥ n t,ḥmt mri̯t f ꞽmꜣḫt ḥnt
m n ḫ ꜣ ṯ t ꞽ n f n ḫ,mnḫ ꜣṯt ꞽn fnḫ
s ḥ m i ̯ n f ꞽ b n ꞽ s t š,sḥmi̯n f ꞽb nꞽ stš
d r b ꜥ ꜥ,dr bꜥꜥ
w ꜣ ḏ ḥ n ꜥ n ḫ w w ꜣ ḏ p p y n f r k ꜣ r ꜥ w ḥ n ꜥ k,wꜣḏ ḥn ꜥnḫw wꜣḏ ppy nfr kꜣ rꜥw ḥnꜥ k
p r ḫ r w n f w p i ̯ r n p t ḏ ḥ w t ꞽ t t p ꞽ r n p t w ꜣ g m ḥ ꜣ b n b r ꜥ w n b ꞽ r ꞽ ꞽ ḫ t n s w t k ꜣ ꞽ m ꜥ n ḫ,pr ḫrw n f wpi̯ rnpt ḏḥwtꞽt tpꞽ rnpt wꜣg m ḥꜣb nb rꜥw nb ꞽrꞽ ꞽḫt nswt kꜣꞽ m ꜥnḫ
p r t ḫ r w n ḥ ꜣ t ꞽ ꜥ ḥ r ꞽ t p ꜥ ꜣ n t ꜣ w r s m r w ꜥ t ꞽ s m s w s n w t ḫ r p ꞽ m w n ṯ r w ḫ r p ḥ w w t n t ꜥ ꜣ d w ꜣ w ḏ ꜥ w z ꜣ n ꞽ ḏ ꜥ w,prt ḫrw n ḥꜣtꞽ ꜥ ḥrꞽ tp ꜥꜣ n tꜣ wr smr wꜥtꞽ smsw snwt ḫrp ꞽmw nṯrw ḫrp ḥwwt nt ꜥꜣ dwꜣw ḏꜥw zꜣ nꞽ ḏꜥw
ꞽ p ꜣ w n ꞽ s p n m ꜣ p d ḫ n n f m ḫ p r r,ꞽpꜣ wnꞽs pn m ꜣpd ḫnn f m ḫprr
ḥ t p ḏ i ̯ n s w t ḥ t p ḏ i ̯ ꞽ n p w ḫ n t ꞽ z ḥ n ṯ r n b t ꜣ ḏ s r,ḥtp ḏi̯ nswt ḥtp ḏi̯ ꞽnpw ḫntꞽ zḥ nṯr nb tꜣ ḏsr
z ꞽ ḏ ḥ w t ꞽ ḥ n ꜥ k ꜣ f,zꞽ ḏḥwtꞽ ḥnꜥ kꜣ f
ꞽ y i ̯ n n f ꞽ t r t ꞽ m k s w,ꞽyi̯n n f ꞽtrtꞽ m ksw
n ḫ m i ̯ f,n ḫmi̯ f
q b ḥ ḥ w t ꜥ ꜣ t n f r ꞽ ḥ y,qbḥ ḥwt ꜥꜣt nfr ꞽḥy
w n ꞽ s p ꞽ w n n t r ḏ i ̯ f t ʾ n n t ꞽ w,wnꞽs pꞽ wnnt rḏi̯ f tʾ n ntꞽw
ꞽ w r w n ꞽ s ꞽ n s ḫ m t ꞽ n š z m t t m s i ̯ t w n ꞽ s s b ꜣ s p d ḥ ꜣ t ꜣ w i ̯ š m t ꞽ n n ḫ r t ḥ r t n r ꜥ w r ꜥ w n b,ꞽwr wnꞽs ꞽn sḫmt ꞽn šzmtt msi̯t wnꞽs sbꜣ spd ḥꜣt ꜣwi̯ šmt ꞽnn ḫrt ḥrt n rꜥw rꜥw nb
m ḥ i ̯ m r ꞽ ꜣ ḫ i ̯ w ꞽ t r w P L m r f ꜥ b w p r i ̯ m w s r w,mḥi̯ mr ꞽꜣḫi̯w ꞽtrwPL m r f ꜥbw pri̯ m wsrw
ḫ n t ꞽ š ꞽ b ꞽ n ḏ m,ḫntꞽ š ꞽb ꞽ nḏm
ḥ ꜣ t t n ẖ n m ꞽ n k ꜣ š š ꞽ,ḥꜣtt nẖnm ꞽn kꜣ ššꞽ
s ḏ k m k ꜣ n ꜥ w,sḏ k m kꜣ nꜥw
m i ̯ k ꞽ r k ṯ w ḫ p r t ꞽ r k r f m ꞽ m n w n ꞽ s m ꜣ,mi̯ k ꞽr k ṯw ḫprtꞽ r k r f m ꞽmnw nꞽ smꜣ
r ḏ i ̯ n s s t r ꜥ t w n n t ẖ r ḥ n w s ḫ t m n s ḥ r f,rḏi̯n s st r ꜥt wnnt ẖr ḥnw s ḫtmn s ḥr f
ꞽ n k t r r ḥ t ꞽ,ꞽnk tr rḥtꞽ
ꜥ n ḫ t ꞽ m ꜥ n ḫ n ḏ d ḏ d k m ḏ d w t,ꜥnḫtꞽ m ꜥnḫ nḏdḏd k m ḏdwt
ꜥ ḥ ꜥ n d p t m w t t ꞽ,ꜥḥꜥn dpt mwttꞽ
ḥ t m z ꜣ f p p y n f r k ꜣ r ꜥ w m ꜥ n ḫ,ḥtm zꜣ f ppy nfr kꜣ rꜥw m ꜥnḫ
ḥ t p ḥ r,ḥtp ḥr
n ḏ s n ꜥ ꜥ,nḏ snꜥꜥ
m r i ̯ ꞽ ḥ n w ꞽ r s n t ꞽ f,mri̯ ꞽ ḥnw ꞽ r sntꞽ f
ḥ w t m r t ꜥ ḥ m t,ḥwt mrt ꜥḥmt
ꞽ r ꞽ t ꞽ ḫ t n s w t ḥ m t f ṯ t ꞽ t,ꞽrꞽt ꞽḫt nswt ḥmt f ṯtꞽt
ṯ b n ṯ r t n f r ḥ z z t t t ꞽ,ṯb nṯrt nfr ḥzzt ttꞽ
ḥ b n n t ḥ t p n ꞽ p t ḥ,ḥbnnt ḥtp nꞽ ptḥ
ḫ ꜥ i ̯ w r n b p s ḏ t,ḫꜥi̯ wr nb psḏt
ꞽ r ꞽ t ꞽ ḫ t n s w t ḥ m t n ṯ r ḥ w t ḥ r w ꞽ m ꜣ ḫ w t ṯ n t t ḥ r,ꞽrꞽt ꞽḫt nswt ḥmt nṯr ḥwt ḥrw ꞽmꜣḫwt ṯntt ḥr
ꞽ r i ̯ t w t,ꞽri̯ twt
g r ḥ,grḥ
ꞽ n ḏ s r t p z ꜣ ꜣ n f s n ḫ s f n f s n,ꞽn ḏsr tp zꜣꜣ n f sn ḫsf n f sn
g m m k g m ꜣ f w ḏ ꜣ n w n t p š n t h m s d ꞽ m f,gmm k gmꜣ f wḏꜣ n wnt pšn thm sd ꞽm f
m ꞽ r i ̯ ḥ ꜣ w ḥ r m d d w t,m ꞽri̯ ḥꜣw ḥr mddwt
